launch_id,launch_name,date,agency,launch_country
e3df2ecd-c239-472f-95e4-2b89b4f75800,Sputnik 8K74PS | Sputnik 1,1957-10-04T19:28:34Z,Soviet Space Program,KAZ
f8c9f344-a6df-4f30-873a-90fe3a7840b3,Sputnik 8K74PS | Sputnik 2,1957-11-03T02:30:00Z,Soviet Space Program,KAZ
535c1a09-97c8-4f96-bb64-6336d4bcb1fb,Vanguard | Vanguard,1957-12-06T16:44:35Z,US Navy,USA
1b9e28d0-c531-44b0-9b37-244e62a6d3f4,Juno-I | Explorer 1,1958-02-01T03:47:56Z,Army Ballistic Missile Agency,USA
48bc7deb-b2e1-46c2-ab63-0ce00fbd192b,Vanguard | Vanguard,1958-02-05T07:33:00Z,US Navy,USA
896e8af6-d256-4a5b-ab15-2f25c84e90e3,Juno-I | Explorer 2,1958-03-05T18:27:57Z,Army Ballistic Missile Agency,USA
74d39bb8-34a6-4a8b-8554-d2d3ec22aee6,Vanguard | Vanguard,1958-03-17T12:15:41Z,US Navy,USA
b4e501ff-083c-47d6-9ff0-63ec1bf035c3,Juno-I | Explorer 3,1958-03-26T17:38:01Z,Army Ballistic Missile Agency,USA
59d2de37-4c22-495f-8718-4b22f5f34ab7,Sputnik 8A91 | D-1 1,1958-04-27T07:00:35Z,Soviet Space Program,KAZ
de282e74-e03b-411e-9633-2d1497629893,Vanguard | Vanguard,1958-04-29T02:53:00Z,US Navy,USA
6a7f56f9-2565-4b6c-b0c5-23e9c74a2368,Sputnik 8A91 | D1- 2,1958-05-15T07:00:35Z,Soviet Space Program,KAZ
a861fb4d-8988-468b-abd1-a6e8abe5f2c7,Vanguard | Vanguard,1958-05-28T03:46:20Z,US Navy,USA
57e64adf-5c20-4c81-b17a-587b44d574b0,Vanguard | Vanguard,1958-06-26T05:00:52Z,US Navy,USA
64da1836-0c00-4074-ab0a-f9d0ee6b1221,Project Pilot | NOTS 1,1958-07-25T00:00:00Z,US Navy,???
e0975cef-e8c6-4f35-bbf7-1b55963e06a5,Juno-I | Explorer 4,1958-07-26T15:00:57Z,Army Ballistic Missile Agency,USA
ac4c0c44-1925-4636-99b5-8c3b33d6c62a,Project Pilot | NOTS 2,1958-08-12T00:00:00Z,US Navy,???
5408eda7-a3cc-48d2-9a62-e77a3cf86bc1,Thor Able I | Able I (Pioneer),1958-08-17T12:18:00Z,Army Ballistic Missile Agency,USA
ee6958bf-155d-4400-9d9a-9d3e27c56d6d,Project Pilot | NOTS 3,1958-08-22T00:00:00Z,US Navy,???
a17719ee-5a39-452d-afc6-770d3c6deb1b,Juno-I | Explorer 5,1958-08-24T06:17:22Z,Army Ballistic Missile Agency,USA
31bcb852-0c9f-4f1f-a201-a108c88e77f8,Project Pilot | NOTS 4,1958-08-25T00:00:00Z,US Navy,???
46580acb-1299-4a54-bdf0-884029a83a84,Project Pilot | NOTS 5,1958-08-26T00:00:00Z,US Navy,???
ba8f759d-5c34-4e63-bd32-29cb8e9905e6,Project Pilot | NOTS 6,1958-08-28T00:00:00Z,US Navy,???
b6141255-54e9-4edc-839d-1dc81b61f19f,Vostok-L 8K72 | Luna-1a,1958-09-23T07:40:23Z,Soviet Space Program,KAZ
3aec8a7e-0884-4709-bdf6-c5f6444314a4,Vanguard | Vanguard,1958-09-26T15:38:00Z,US Navy,USA
a58b6abf-6b0e-492c-8bf3-1fa586f8d4da,Thor Able I | Pioneer 1,1958-10-11T08:42:13Z,Army Ballistic Missile Agency,USA
b9dfc9fc-7c79-4c85-833e-037b3ee311aa,Vostok-L 8K72 | Luna-1b,1958-10-11T21:41:58Z,Soviet Space Program,KAZ
96c31f2e-670c-46d5-8c5c-bc0e47dce16e,Juno-I | Beacon,1958-10-23T03:21:04Z,Army Ballistic Missile Agency,USA
64ecf17b-09e4-42ab-aa54-8d87b989e365,Thor Able I | Pioneer 2,1958-11-08T07:30:21Z,Army Ballistic Missile Agency,USA
3fabc98a-84bf-4b91-bec8-31f30eee9dc3,Vostok-L 8K72 | Luna-1c,1958-12-04T18:18:45Z,Soviet Space Program,KAZ
e83eac3f-29eb-4fac-b826-247261bd170d,Juno II | Pioneer 3,1958-12-06T05:44:52Z,National Aeronautics and Space Administration,USA
80c8e883-8456-45e7-9ed7-abb1a587c5d9,Atlas B | SCORE,1958-12-18T23:02:00Z,US Army,USA
574ba4a9-76fb-4207-a587-dbc39fc1a6e4,Vostok-L 8K72 | Luna-1,1959-01-02T16:41:21Z,Soviet Space Program,KAZ
597540d3-b6b1-44d8-b6e6-3b799dc6b1e4,Vanguard | Vanguard II,1959-02-17T15:55:00Z,US Navy,USA
2e03da7f-8604-416c-9313-8c456d893a6f,Thor Agena A | Discoverer 1,1959-02-28T21:49:16Z,United States Air Force,USA
5de0c176-20e0-4bb6-a576-2e093b79fd51,Juno II | Pioneer 4,1959-03-03T05:10:56Z,National Aeronautics and Space Administration,USA
e10a11fb-e3b9-4def-b281-c5602653b2dc,Thor Agena A | Discoverer 2,1959-04-13T21:18:39Z,United States Air Force,USA
c3d28943-4905-47b6-89c7-13b8dce45eef,Vanguard | Vanguard,1959-04-14T02:49:46Z,US Navy,USA
c4ef4614-99bb-4da4-ab0c-180ec2faf6cc,Thor Agena A | Discoverer 3,1959-06-03T20:09:20Z,United States Air Force,USA
c5b416c9-5e12-42b1-85db-e3f807906166,Vostok-L 8K72 | Luna-2a,1959-06-18T08:08:00Z,Soviet Space Program,KAZ
d00485ff-f5c5-4e6b-9aa5-a2928c079f41,Vanguard | Vanguard,1959-06-22T20:16:09Z,US Navy,USA
dbe9a4b7-8cf0-4c7f-a42f-a5f70d2702a6,Thor Agena A | Discoverer 4,1959-06-25T22:47:45Z,United States Air Force,USA
7e01bff4-1cb9-409e-838b-4433ded92b94,Juno II | NASA S-1,1959-07-16T17:37:03Z,National Aeronautics and Space Administration,USA
7ab310ea-28d5-4c58-9bfd-ae9aefc40c20,Thor Able III | Explorer 6,1959-08-07T14:24:20Z,United States Air Force,USA
a87cf2ee-4169-4cdc-9fc4-8ff7ce8ebfea,Thor Agena A | Discoverer 5,1959-08-13T19:00:08Z,United States Air Force,USA
13e39d5c-50db-4ebd-8aaa-30318fcb49fe,Juno II | Beacon,1959-08-15T00:31:00Z,National Aeronautics and Space Administration,USA
1e564ecb-b4cf-40f3-905a-8555abc47810,Thor Agena A | Discoverer 6,1959-08-19T19:24:44Z,United States Air Force,USA
fdb56feb-e46f-41ba-80c8-c84be17c1888,Little Joe | LJ-1,1959-08-21T12:00:00Z,National Aeronautics and Space Administration,USA
0640dd85-11c7-4a10-9947-9467f33cbaf2,Atlas LV-3B | Big Joe 1,1959-09-09T08:19:00Z,National Aeronautics and Space Administration,USA
af1b241a-f46e-4d11-a504-e03965d94c01,Vostok-L 8K72 | Luna-2,1959-09-12T06:39:42Z,Soviet Space Program,KAZ
3587bc21-73f7-4668-b388-5f0840c6064f,Thor Able II | Transit 1A,1959-09-17T14:34:00Z,United States Air Force,USA
614d577a-ac7c-4659-8fed-4b6a734469cd,Vanguard | Vanguard III,1959-09-18T05:20:07Z,US Navy,USA
3016d082-58d4-436e-aa6a-379865565edf,Vostok-L 8K72 | Luna-3,1959-10-04T00:43:39Z,Soviet Space Program,KAZ
17e710c6-da47-43fb-b994-b02521787fd8,Little Joe | LJ-6,1959-10-04T10:00:00Z,National Aeronautics and Space Administration,USA
e501cff3-10ec-485e-9d3c-a48315195bed,Juno II | Explorer 7,1959-10-13T15:30:04Z,National Aeronautics and Space Administration,USA
3827a2c8-f89b-4e28-9671-ef5b39d9222a,Little Joe | LJ-1A,1959-11-04T14:30:00Z,National Aeronautics and Space Administration,USA
4ffd5945-132b-4ec4-8a9f-f37bdc428f9b,Thor Agena A | Discoverer 7,1959-11-07T20:28:41Z,United States Air Force,USA
ba311200-30df-44dd-879e-c4fecbc2dcb1,Thor Agena A | Discoverer 8,1959-11-20T19:25:24Z,United States Air Force,USA
f889bd5e-6cf9-4189-9912-d978a6f7b0fe,Atlas-Able | P-3,1959-11-26T07:26:00Z,United States Air Force,USA
89a42fc2-2d31-4c82-857a-c110a438d429,Little Joe | LJ-2,1959-12-04T16:20:00Z,National Aeronautics and Space Administration,USA
215ecfa3-d465-4e3e-a0d2-3312ffd4e35b,Little Joe | LJ-1B,1960-01-21T14:23:00Z,National Aeronautics and Space Administration,USA
05c21203-d2e5-4932-8376-f996301d1510,Thor Agena A | Discoverer 9,1960-02-04T18:51:45Z,United States Air Force,USA
7484048e-747d-4f6a-86be-45585a63804d,Thor Agena A | Discoverer 10,1960-02-19T20:15:14Z,United States Air Force,USA
258a4774-b0f5-4775-9918-5a90ad60f008,Atlas Agena A | Midas 1,1960-02-26T17:25:30Z,United States Air Force,USA
a80dd1f3-c3a2-40f6-a60a-97251eff576f,Thor Able IV | Pioneer V,1960-03-11T13:00:07Z,United States Air Force,USA
1bbd65cc-7c3d-495b-b5ae-b8a5827460ea,Juno II | NASA S-46,1960-03-23T13:35:11Z,National Aeronautics and Space Administration,USA
b5b8946b-8471-4fa2-b63f-d3aaf84607bb,Thor Able II | Tiros 1,1960-04-01T11:40:09Z,United States Air Force,USA
aef4789b-12ab-4483-b90c-24b997196861,Thor DM-21 Ablestar | Transit 1B,1960-04-13T12:02:36Z,United States Air Force,USA
ab42847c-d783-4304-a773-b7e310b22d2b,Vostok-L 8K72 | Luna-4a,1960-04-15T15:06:45Z,Soviet Space Program,KAZ
b2b23558-cba6-4c9f-89ef-76e47a53b187,Thor Agena A | Discoverer 11,1960-04-15T20:30:37Z,United States Air Force,USA
620237e7-82b2-44c9-affb-93744951d457,Vostok-L 8K72 | Luna-4b,1960-04-16T16:07:41Z,Soviet Space Program,KAZ
b4158c69-88e9-4bfa-927f-c3489cf48eda,Thor Delta | Echo,1960-05-13T09:16:05Z,United States Air Force,USA
02b8bb48-37a1-4f43-9112-33d8e8589a75,Vostok 8K72 | Korabl'-Sputnik-1,1960-05-15T00:00:05Z,Soviet Space Program,KAZ
eee9e288-e5c8-429d-9760-5c7bc14a5225,Atlas Agena A | Midas 2,1960-05-24T17:36:46Z,United States Air Force,USA
bc9375ae-6a9e-4eba-8358-cbf5b008def9,Thor DM-21 Ablestar | Transit 2A,1960-06-22T05:54:00Z,United States Air Force,USA
7c364234-6871-4ea9-97c5-5dcd5bcec1dd,Thor Agena A | Discoverer 12,1960-06-29T22:00:44Z,United States Air Force,USA
